id,nome,marca,modelo,os,device_date,barcode,estoque,preço,preço_mercado,data,credit_card,code,moeda
1,Ali Brann,Samsung,Samsung P510,Feature phone,2004,65703-5044,"H&E Equipment Services, Inc.",$0.63,$679.83M,1/5/2021,3535306026782796,CNY,Yuan Renminbi
2,Loren Heinrici,alcatel,alcatel OT 511,Feature phone,2001,0067-0129,"Summit Hotel Properties, Inc.",$3.10,n/a,2/3/2023,30445184112572,GHS,Cedi
3,Inesita Maden,Spice,Spice Mi-422 Smartflo Pace,Android 4.0,2013,63629-4719,"Under Armour, Inc.",$3.26,$8.67B,10/1/2021,3582976943818436,CNY,Yuan Renminbi
4,Adorne Bold,Samsung,Samsung U960 Rogue,Feature phone,2009,69231-003,iPath US Treasury 5-year Bull ETN,$3.37,$4.9M,2/26/2024,3568305265518408,EUR,Euro
5,Alfred Durston,Motorola,Motorola A780,Linux,2004,57664-508,W.R. Berkley Corporation,$9.73,$8.51B,9/24/2022,3569709401201531,EUR,Euro
6,Mary Gorke,Oppo,Oppo F11,"Android 9.0, ColorOS 6",2019,43269-726,Moelis & Company,$4.99,$1.01B,9/5/2021,4903877944545608,IDR,Rupiah
7,Hannie Revely,Coolpad,Coolpad Defiant,Android 7.0,2017,63629-2816,"America Movil, S.A.B. de C.V.",$6.96,$51.95B,10/14/2022,5480495671579332,IQD,Dinar
8,Alfonse Yegorshin,Samsung,Samsung Rugby Smart I847,Android 2.3.6,2012,0093-7472,Frontline Ltd.,$9.58,$920.37M,1/4/2021,3570178446093856,IDR,Rupiah
9,Morey Bjorkan,Micromax,Micromax Q3,Feature phone,2009,48951-8135,Cemtrex Inc.,$0.93,n/a,12/26/2021,3531714214880039,IDR,Rupiah
10,Billi Andrzejczak,Nokia,Nokia 3660,"Symbian 6.1, Series 60 v1.0 UI",2003,40042-025,"Entergy Louisiana, Inc.",$5.20,n/a,3/2/2024,6387876263174040,CNY,Yuan Renminbi
11,Emery Linzey,Huawei,Huawei Y7p,"Android 9.0, EMUI 9, no Google Play Services",2020,54868-4093,Brookfield Global Listed Infrastructure Income Fund,$7.58,$188.64M,2/3/2024,5401330053247065,CNY,Yuan Renminbi
12,Moreen Harnell,Philips,Philips D833,Android 4.0,2013,30142-906,"Hologic, Inc.",$1.17,$12.41B,3/10/2022,560222407464691510,AFN,Afghani
13,Derby Belcher,Philips,Philips Fisio 620,Feature phone,2002,49693-1501,"World Point Terminals, LP",$7.60,$603.44M,4/4/2020,6382209696240185,IDR,Rupiah
14,Jamal Corrington,alcatel,alcatel OT-E159,Feature phone,2005,10812-415,"James River Group Holdings, Ltd.",$8.79,$1.18B,3/19/2021,5610311307245102,RUB,Ruble
15,Leann Flight,Lava,Lava Iris 460,Android 4.4.2,2014,49288-0728,"Dunkin' Brands Group, Inc.",$2.00,$5.17B,11/30/2021,3558650805216852,BRL,Real
16,Smitty Jakobsson,Samsung,Samsung Galaxy On5 (2016),Android 6.0.1,0,52125-896,First Trust Managed Municipal ETF,$7.57,$137.93M,12/2/2023,3563181326727642,CNY,Yuan Renminbi
17,Brianna Mardle,Wiko,Wiko Jerry,Android 6.0,2016,49035-098,Altisource Portfolio Solutions S.A.,$2.55,$403.3M,9/23/2020,5038042050408365,HRK,Kuna
18,Rafaela Tollow,QMobile,QMobile Noir i10,Android 4.4.2,2014,0054-0392,Infinity Property and Casualty Corporation,$1.71,$1.05B,3/4/2021,3566671484886088,BWP,Pula
19,Latashia Josskowitz,Samsung,Samsung R351 Freeform,Feature phone,2009,64987-0296,Gabelli Utility Trust (The),$7.59,$296.84M,8/22/2023,30121090222124,CNY,Yuan Renminbi
20,Gillie Baynes,Motorola,Motorola CHARM,Android 2.1,2010,57525-002,Baxter International Inc.,$7.99,$31.49B,3/9/2023,5419361124461963,IDR,Rupiah
21,Leese Mustchin,iNQ,iNQ Cloud Q,Android 2.2,0,55154-5439,Horizon Bancorp (IN),$5.20,$580.2M,8/29/2022,3566377642449849,UAH,Hryvnia
22,Herman Kingaby,Archos,Archos 55 Graphite,Android 7.0,2017,0615-7666,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,$7.92,$7.7M,12/23/2022,6377457735660064,SEK,Krona
23,Dalston Broseman,Samsung,Samsung D780,Feature phone,2008,47593-483,iShares S&P/Citigroup 1-3 Year International Treasury Bond Fun,$1.67,$76.92M,1/6/2022,3554660556478266,CNY,Yuan Renminbi
24,Trudie Orsi,Xiaomi,Xiaomi Mi 10i 5G,"Android 10, MIUI 12",2021,58411-188,"Westmoreland Resource Partners, LP",$0.38,$4.11M,7/5/2020,3531306214847728,RUB,Ruble
25,Gaynor Yukhtin,Micromax,Micromax Q2,Feature phone,2009,14783-256,"Catalent, Inc.",$5.74,$4.61B,2/13/2023,3546534349858327,CNY,Yuan Renminbi
26,Katie Weston,alcatel,alcatel Go Flip V,KaiOS 2.5,2019,42213-370,Mercury General Corporation,$3.12,$3.11B,6/1/2022,4041590426104371,ALL,Lek
27,Gayla Morehall,Huawei,Huawei G3621L,Feature phone,2013,42681-0512,"Herman Miller, Inc.",$8.58,$1.85B,12/14/2022,5100132669014226,VND,Dong
28,Charis Plumb,Unnecto,Unnecto Edge,Feature phone,2011,58988-0018,KKR Financial Holdings LLC,$2.18,n/a,1/24/2020,201796575669924,CNY,Yuan Renminbi
29,King Marchbank,Sony,Sony Ericsson Xperia PLAY,Android 2.3.4,2011,37808-511,"Alliance HealthCare Services, Inc.",$1.01,$143.51M,11/12/2021,4936425614379275973,USD,Dollar
30,Victoria Filip,ZTE,ZTE Maven,Android 5.1,2015,35000-868,Fox Factory Holding Corp.,$2.00,$1.22B,11/27/2022,3577633533663741,BYR,Ruble
31,Hamid Filkov,Meizu,Meizu MX5e,"Android 5.1, Flyme 5",2016,63629-2626,"Cable One, Inc.",$9.93,$4.14B,4/13/2021,4026005098621197,GTQ,Quetzal
32,Waldo Gregg,Samsung,Samsung R200,Feature phone,2001,16571-657,PowerShares International Dividend Achievers Portfolio,$1.98,$802.72M,3/20/2022,3564451349871464,HNL,Lempira
33,Hilary Fripps,Huawei,Huawei MatePad T 10s,"Android 10, EMUI 10.1",2020,65162-218,"Forterra, Inc.",$3.79,$411.13M,10/31/2023,3551701862493343,JPY,Yen
34,Amalle Lyburn,Pantech,Pantech PG-6200,Feature phone,2006,49349-856,Centrais Electricas Brasileiras S.A.- Eletrobras,$4.22,n/a,6/9/2021,676766025447219237,KRW,Won
35,Gerrilee Crassweller,Nokia,Nokia C5,"Symbian 9.3, Series 60 rel. 3.2",2010,50844-352,Ashford Hospitality Trust Inc,$4.46,n/a,11/4/2020,5132247968798238,COP,Peso
36,Darill Haspineall,Micromax,Micromax A92,Android 4.1.2,2013,0338-0054,Wells Fargo & Company,$2.75,n/a,3/10/2022,3567431533366478,VND,Dong
37,Dominique Jewar,Nokia,Nokia 1.4,"Android 10, planned upgrade to Android 11",2021,76509-151,US Foods Holding Corp.,$7.47,$6.33B,7/18/2023,30500260287043,AUD,Dollar
38,Sonnnie Luety,XOLO,XOLO Q1000s plus,Android 4.2,2014,51079-191,"IF Bancorp, Inc.",$7.88,$77.63M,12/11/2023,3536254480217215,BRL,Real
39,Giusto Jimpson,Asus,Asus J502,Feature phone,2007,0268-7000,FIRST REPUBLIC BANK,$5.77,n/a,12/4/2022,67097211130913086,JPY,Yen
40,Pascal Moar,Asus,Asus Transformer Book Trio,Android 4.2,2013,64942-1281,Big 5 Sporting Goods Corporation,$5.05,$316.8M,6/30/2020,3564117580267866,PEN,Sol
41,Rex Hamly,HTC,HTC Tattoo,"Android 1.6, Sense UI",2009,59899-006,"First Solar, Inc.",$3.64,$3.74B,3/10/2021,6759241669449343751,MYR,Ringgit
42,Jackie Mantle,Samsung,Samsung Galaxy S9 Active,Android 8.0,0,53808-0922,Bio-Techne Corp,$9.16,$4.17B,7/30/2021,490391132008387178,CNY,Yuan Renminbi
43,Pablo Sapson,Celkon,Celkon C1,Feature phone,2011,60512-8010,Pegasystems Inc.,$5.56,$4.6B,8/3/2021,56022116015603319,RUB,Ruble
44,Ciro Gheraldi,LG,LG K22,Android 10,2020,63824-340,Guggenheim Credit Allocation Fund,$3.64,$161.51M,1/15/2023,372806306501198,PLN,Zloty
45,Tanitansy Farney,Celkon,Celkon C5,Feature phone,2011,55154-3575,Horizon Technology Finance Corporation,$9.57,$129.45M,10/19/2020,5010124547586912,SEK,Krona
46,Shirl Morse,vivo,vivo Z1 Lite,"Android 8.1, Funtouch 4",2018,0641-6068,"Minerva Neurosciences, Inc",$6.30,$356.04M,3/23/2022,3545669347221820,CNY,Yuan Renminbi
47,Kali Chicotti,Vertu,Vertu Constellation Quest,Symbian OS,2010,42291-595,Regions Financial Corporation,$5.22,$17.26B,7/9/2021,3528412312862463,USD,Dollar
48,Augustina Reims,Samsung,Samsung Galaxy Pocket Duos S5302,Android 2.3,2012,36987-2480,OFG Bancorp,$9.40,n/a,1/20/2023,3568010232108156,CNY,Yuan Renminbi
49,Myron Nealon,Nokia,Nokia 105,Feature phone,2013,64893-902,"Gardner Denver Holdings, Inc.",$7.32,$4.54B,10/16/2022,4508318831772350,JPY,Yen
50,Isaak Yea,Philips,Philips W920,Android 2.2,2011,60432-671,Nuveen Multi-Market Income Fund,$4.70,$71.11M,4/11/2023,3564975328473967,CNY,Yuan Renminbi
51,Verene Emloch,alcatel,alcatel Fierce XL (Windows),Microsoft Windows 10,2016,65862-246,"SCYNEXIS, Inc.",$2.77,$42.31M,3/24/2021,4917370805048452,KGS,Som
52,Bree Riteley,Samsung,Samsung C3782 Evan,Feature phone,2012,21749-607,FlexShares US Quality Large Cap Index Fund,$1.73,$23.84M,5/29/2023,3556213574200086,NGN,Naira
53,Hortense Dewing,LeEco,LeEco Le Max,Android 5.1,2016,0904-5525,"Vermillion, Inc.",$3.88,$95.91M,3/14/2021,5554776820375263,EUR,Euro
54,Armin Sawkin,Maxwest,Maxwest Nitro 5M,Android 6.0,2016,42361-008,Western Alliance Bancorporation,$3.55,n/a,11/17/2020,490524615481977879,COP,Peso
55,Carey Sarjeant,Ulefone,Ulefone Watch GPS,Proprietary OS,2020,59667-0059,"Prestige Brand Holdings, Inc.",$3.06,$2.79B,1/14/2021,4917315919542940,EUR,Euro
56,Sidonnie Lammers,Intex,Intex Aqua Craze,Android 5.1,2016,37808-405,PowerShares Dividend Achievers Portfolio,$5.72,$317.19M,2/24/2024,490388146881816314,CNY,Yuan Renminbi
57,Sally Roseborough,ZTE,ZTE Blade V8,"Android 7.0, MiFavor 4.2",2017,54868-3059,Liberty Media Corporation,$8.64,$13.88B,12/6/2023,3555152730254036,CNY,Yuan Renminbi
58,Lynelle McKevany,Gionee,Gionee K6,Android 7.1,2020,63505-158,"Merrill Lynch & Co., Inc.",$3.11,n/a,8/15/2020,342091094605025,PHP,Peso
59,Kelby Fullilove,Samsung,Samsung Galaxy A Quantum,"Android 10, One UI 2",2020,54505-101,Jupai Holdings Limited,$3.21,$258.29M,2/13/2023,4026800805052011,VEF,Bolivar
60,Paton Bugby,Dell,Dell XCD28,Android 2.1,2010,0944-0490,VictoryShares US 500 Enhanced Volatility Wtd ETF,$3.75,$30.92M,1/24/2021,5602226994819060,UAH,Hryvnia
61,Heather Hasling,Sony,Sony CM-DX 1000,Feature phone,1997,68927-3490,"Five Point Holdings, LLC",$8.62,$887.55M,7/5/2021,3585075361555070,CNY,Yuan Renminbi
62,Binnie Hugo,Vodafone,Vodafone 227,Feature phone,2007,0485-0171,"Cidara Therapeutics, Inc.",$8.36,$115.12M,11/17/2021,3563699933789200,CNY,Yuan Renminbi
63,Aldwin Bullier,vivo,vivo Z1x,"Android 9.0, up to Android 10, Funtouch 10",2019,51079-932,"Blackrock MuniYield California Fund, Inc.",$3.24,$326.9M,11/8/2020,3546130015895139,CNY,Yuan Renminbi
64,Georgianne MacMakin,ZTE,ZTE Blade V10,"Android 9.0, MiFavor 9.0",2019,63629-1446,Kayne Anderson MLP Investment Company,$0.97,n/a,10/13/2020,5462801151555902,PKR,Rupee
65,Doti Malthouse,Samsung,Samsung Galaxy Prevail,Android 2.2,2011,50007-1000,TPG Pace Energy Holdings Corp.,$2.91,n/a,9/11/2022,3585383457087622,JPY,Yen
66,Marilee Bladen,Pantech,Pantech GB100,Feature phone,2004,11673-009,Western Asset/Claymore U.S. Treasury Inflation Prot Secs Fd,$9.18,$327.09M,4/20/2023,3541369325095478,BRL,Real
67,Sue Kalinowsky,Lenovo,Lenovo A850,Android 4.2.2,2013,0517-8571,"Reata Pharmaceuticals, Inc.",$7.63,n/a,1/21/2024,3563424543898808,PHP,Peso
68,Leontyne Newman,Sagem,Sagem MY V-75,Feature phone,2004,67938-0826,J P Morgan Chase & Co,$8.10,n/a,10/28/2021,3575150863443893,IDR,Rupiah
69,Gilberto Mirrlees,Micromax,Micromax Vdeo 1,Android 6.0,2016,36800-070,Dominion Diamond Corporation,$3.15,$1.03B,2/22/2020,201912683669744,IDR,Rupiah
70,Raoul Pratley,Allview,Allview Viva H8 LTE,Android 4.4.4,2014,0054-0120,Rent-A-Center Inc.,$1.73,$633.57M,4/27/2020,4844475963863192,COP,Peso
71,Ives Trobe,Prestigio,Prestigio MultiPhone 3400 Duo,Android 4.2,2013,60505-3132,AC Immune SA,$5.56,$484.41M,5/7/2022,6386092190973154,CAD,Dollar
72,Polly Bisson,Huawei,Huawei MediaPad M5 Lite 8,"Android 9.0, EMUI 9.0",2019,51346-118,Alamos Gold Inc.,$5.18,$2.12B,9/22/2020,3532097331308970,TTD,Dollar
73,Heidi Bernette,Samsung,Samsung Galaxy M21,"Android 10, up to Android 11, One UI 3.1 Core",2020,0456-0400,"Meridian Bancorp, Inc.",$9.10,$895.77M,12/9/2021,4844786465770903,USD,Dollar
