customer_id,payer_name,first_name,last_name,gender,cpf,idade,cep,cidade,estado,endereco,graduado,trabalho,idioma,pessoa_fisica_juridica,email,payer_email,saldo,score_credito,produtos,device_brand,device_model,cor,device_date,os,material,barcode,total,data_pagamento,descrisão_pagamento,marca_carro,moeda,departamento,estoque,credit_card,estoque_industrial,frequencia,pagador,risco_emprestimo,marcas_consumidas,frequencia_transacoes,ativo,beneficiario_governo,estado_saude,bancos_cadastro,status_pagamento,valor_pagamento,tipo_transacao,status_conta,paises_visitados
1,Doti Tarpey,Doti,Tarpey,Polygender,703-19-3459,53,5249,La Banda,,05 Westport Pass,false,Web Developer II,Oriya,pessoa física,dtarpey0@hatena.ne.jp,dtarpey0@mayoclinic.com,-6274.51,301,produto1,Micromax,Micromax Canvas 5 Lite Q462,Aquamarine,2016,Android 5.1,Rubber,515066384-0,9443.32,10/4/2020,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue,Kia,Peso,Computers,"Mota Group, Inc.",5602212913714442,n/a,Often,sim,baixo,marca2,57,false,true,bom,bradesco,recusado,6278.72,investimentos,desativada,66
2,Genovera Isham,Genovera,Isham,Female,233-44-1563,84,,Fengyuan,,7758 Harbort Parkway,true,Librarian,Fijian,pessoa física,gisham1@ca.gov,gisham1@intel.com,-8312.1,540,produto2,Vodafone,Vodafone 511,Red,2007,Feature phone,Stone,727267702-3,1536.83,9/22/2021,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,Honda,Dollar,Toys,"Engility Holdings, Inc.",3551002045019620,Military/Government/Technical,Yearly,sim,alto,marca2,84,true,true,bom,itaú,recusado,1478.13,consórcios,ativa,96
3,Dominik Wimbridge,Dominik,Wimbridge,Male,101-60-3487,54,11900-000,Registro,,53939 Dunning Street,false,Engineer IV,Belarusian,pessoa jurídica,dwimbridge2@privacy.gov.au,dwimbridge2@craigslist.org,-5086.62,776,produto3,Lava,Lava Iris 505,Violet,2013,Android 4.2,Wood,473404964-5,8556.6,3/20/2021,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti,Ford,Real,Music,Public Storage,560224721754649410,Real Estate Investment Trusts,Once,não,médio,marca1,75,false,true,regular,bb,aceito,9809.94,empréstimos,desativada,42
4,Staffard Poure,Staffard,Poure,Male,102-26-1966,34,,Verkhniy Dashkesan,,04330 Mccormick Court,false,Accountant III,English,pessoa jurídica,spoure3@feedburner.com,spoure3@people.com.cn,-482.87,736,produto3,Nokia,Nokia C2,Mauv,2020,Android 9.0 Pie,Aluminum,711170339-1,1084.41,5/25/2020,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id,Chevrolet,Manat,Beauty,"Atlas Financial Holdings, Inc.",3582182251545535,Property-Casualty Insurers,Yearly,sim,baixo,marca3,38,false,true,regular,bradesco,pendente,5032.34,financiamentos,ativa,43
5,Giacopo Brockley,Giacopo,Brockley,Male,452-49-2856,71,3764,Soest,Provincie Utrecht,09923 Havey Place,false,Office Assistant I,Albanian,pessoa jurídica,gbrockley4@webs.com,gbrockley4@123-reg.co.uk,-7761.92,468,produto2,Karbonn,Karbonn A2+,Violet,2013,Android 4.0,Aluminum,132750536-3,3051.96,4/1/2021,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt,GMC,Euro,Automotive,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,6706900920704785,n/a,Never,não,baixo,marca1,99,false,false,regular,caixa,aceito,3461.95,financiamentos,ativa,32
6,Andreas Brenard,Andreas,Brenard,Male,253-65-4443,64,601340,Novki,,628 Washington Junction,false,Geological Engineer,Chinese,pessoa jurídica,abrenard5@youtube.com,abrenard5@hud.gov,-7594.71,771,produto3,Samsung,Samsung Z110,Violet,2004,Feature phone,Vinyl,605109292-7,313.35,2/6/2020,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,Maybach,Ruble,Automotive,"National Health Investors, Inc.",374283279924427,Real Estate Investment Trusts,Seldom,sim,médio,marca1,32,true,false,bom,bb,recusado,9353.64,investimentos,ativa,60
7,Dolf Savery,Dolf,Savery,Male,122-93-0643,22,90189,Los Angeles,California,6847 Moland Place,true,Electrical Engineer,Hindi,pessoa física,dsavery6@home.pl,dsavery6@shutterfly.com,-2640.69,826,produto3,Coolpad,Coolpad Note 3s,Khaki,2016,Android 6.0,Brass,231368003-7,4431.5,5/6/2020,cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,Mitsubishi,Dollar,Music,"Tandy Leather Factory, Inc.",3576630990940167,Apparel,Seldom,não,alto,marca3,25,true,true,bom,caixa,pendente,2370.46,investimentos,ativa,14
8,Petr Walkingshaw,Petr,Walkingshaw,Male,675-07-0050,49,,Nogoonnuur,,40 Calypso Point,false,Budget/Accounting Analyst I,English,pessoa física,pwalkingshaw7@xrea.com,pwalkingshaw7@discovery.com,825.71,391,produto3,Micromax,Micromax Bharat 5 Plus,Pink,2018,Android 7.0,Stone,905973689-3,6837.3,6/15/2021,lectus in est risus auctor sed tristique in tempus sit amet sem,Chevrolet,Tugrik,Baby,"Walgreens Boots Alliance, Inc.",3564255404676530,Medical/Nursing Services,Daily,sim,médio,marca2,58,true,true,grave,santander,aceito,6294.69,consórcios,ativa,66
9,Marlo Middleditch,Marlo,Middleditch,Male,164-05-1476,25,84042 CEDEX 9,Avignon,Provence-Alpes-Côte d'Azur,228 Ohio Terrace,true,Analyst Programmer,Tamil,pessoa física,mmiddleditch8@umn.edu,mmiddleditch8@columbia.edu,-9331.45,795,produto2,Sagem,Sagem MW 3042,Green,2001,Feature phone,Stone,618435788-3,870.81,7/24/2020,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum,Volvo,Euro,Books,Woori Bank,5182690911721659,Commercial Banks,Once,sim,baixo,marca2,89,false,true,bom,bnb,recusado,9324.66,consórcios,ativa,91
10,Quinn Landrick,Quinn,Landrick,Male,735-06-6150,24,,Yingjiang,,6885 Carioca Alley,false,Civil Engineer,Arabic,pessoa jurídica,qlandrick9@is.gd,qlandrick9@businessinsider.com,-9404.31,402,produto3,Samsung,Samsung P900,Khaki,2006,Feature phone,Aluminum,271266247-4,6421.95,8/31/2021,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,Mercury,Yuan Renminbi,Outdoors,PowerShares S&P SmallCap Health Care Portfolio,30029301113455,n/a,Monthly,sim,médio,marca2,70,false,true,regular,caixa,pendente,9182.43,empréstimos,ativa,46
