cpf,hora,data,produto,preço,quantidade,pdv,operadora,operação,total
682.430.517-08,16:42,24/04/2024,Financiamento,7000,6,9,Daniela,cartão_debito,42000
768.103.954-66,11:39,26/04/2024,Financiamento,7000,8,18,Isabelly,dinheiro,56000
768.103.954-66,16:10,08/04/2024,Emprestimo,800,5,7,Isabelly,cartão_debito,4000
768.103.954-66,17:28,30/04/2024,Consignado,1800,5,2,Helena,cartão_credito,9000
932.056.817-03,18:21,29/04/2024,Emprestimo,800,1,2,Isabelly,dinheiro,800
682.430.517-08,14:52,06/04/2024,Consignado,1800,1,11,Daniela,pix,1800
682.430.517-08,20:39,26/04/2024,Consignado,1800,10,18,Helena,cartão_debito,18000
891.457.320-60,21:06,14/04/2024,Consignado,1800,6,7,Daniela,pix,10800
932.056.817-03,15:13,17/04/2024,Financiamento,7000,6,11,Daniela,cartão_debito,42000
059.371.682-59,16:05,20/04/2024,Emprestimo,800,8,9,Isabelly,pix,6400
